rvbank_star_name,n_observations_rvbank,archive_hostname,planet_name,match_method,match_note,orbital_period_days,orbital_period_err_upper_days,orbital_period_err_lower_days,semi_major_axis_au,semi_major_axis_err_upper_au,semi_major_axis_err_lower_au,eccentricity,eccentricity_err_upper,eccentricity_err_lower,omega_argument_of_periastron_deg,omega_err_upper_deg,omega_err_lower_deg,rv_semi_amplitude_m_s,rv_semi_amplitude_err_upper_m_s,rv_semi_amplitude_err_lower_m_s,inclination_deg,inclination_err_upper_deg,inclination_err_lower_deg,time_of_periastron_days,transit_mid_time_days,planet_mass_mjup,planet_mass_err_upper_mjup,planet_mass_err_lower_mjup,planet_mass_provenance,planet_mass_mearth,planet_mass_err_upper_mearth,planet_radius_rearth,planet_radius_rjup,discoverymethod,disc_facility,disc_year,parameter_reference,supplemented_parameters,supplement_reference,controversial_flag,stellar_teff_k,stellar_mass_msun,stellar_radius_rsun,stellar_fe_h_dex,stellar_logg_cgs,v_magnitude,distance_pc,n_planets_in_system
GJ4291,371,HD 215152,HD 215152 e,simbad,,25.1967,0.0476,-0.0505,0.15417,0.00199,-0.00204,0,,,,,,0.747,0.275,-0.384,0.1869,,,,,3.069,,,Mass,975.4153811,,,,Radial Velocity,La Silla Observatory,2018,Delisle et al. 2018,,,0,4935,0.77,0.73,-0.1,4.4,8.11,21.5974,4
GJ4291,371,HD 215152,HD 215152 c,simbad,,7.28243,0.00451,-0.00827,0.067393,0.00086,-0.000893,0,,,,,,0.675,0.242,-0.284,0.2035,,,,,1.475,,,Mass,468.7969003,,,,Radial Velocity,La Silla Observatory,2018,Delisle et al. 2018,,,0,4935,0.77,0.73,-0.1,4.4,8.11,21.5974,4
GJ4291,371,HD 215152,HD 215152 d,simbad,,10.86499,0.00564,-0.00613,0.08799,0.00113,-0.00116,0,,,,,,0.963,0.277,-0.317,0.1998,,,,,2.424,,,Mass,770.4160586,,,,Radial Velocity,La Silla Observatory,2018,Delisle et al. 2018,,,0,4935,0.77,0.73,-0.1,4.4,8.11,21.5974,4
GJ4291,371,HD 215152,HD 215152 b,simbad,,5.75999,0.00157,-0.00175,0.057638,0.000739,-0.000759,0,,,,,,0.772,0.211,-0.266,0.1871,,,,,1.779,,,Mass,565.4167361,,,,Radial Velocity,La Silla Observatory,2018,Delisle et al. 2018,,,0,4935,0.77,0.73,-0.1,4.4,8.11,21.5974,4
HD96700,366,HD 96700,HD 96700 b,direct,,8.1245,0.0006,-0.0006,0.0777,0.0013,-0.0013,0.138,,,,,,3.06,0.13,-0.13,,,,2455501.3,,0.02800253,0.00125854,-0.00125854,Msini,8.9,0.4,2.93,0.261,Radial Velocity,La Silla Observatory,2021,Unger et al. 2021,,,0,5845,0.89,1.16,-0.18,4.39,6.51,25.4111,3
HD96700,366,HD 96700,HD 96700 c,direct,,19.88,0.01,-0.01,0.141,0.002,-0.002,0.293,,,,,,0.9,0.1,-0.1,,,,2455513,,0.01101223,0.00125854,-0.00125854,Msini,3.5,0.4,1.69,0.151,Radial Velocity,La Silla Observatory,2021,Unger et al. 2021,,,0,5845,0.89,1.16,-0.18,4.39,6.51,25.4111,3
HD96700,366,HD 96700,HD 96700 d,direct,,103.5,0.1,-0.1,0.424,0.007,-0.007,0.27,0.08,-0.08,42,18,-18,1.94,0.15,-0.15,,,,2455500,,0.03995867,0.00314635,-0.00314635,Msini,12.7,1,3.61,0.322,Radial Velocity,La Silla Observatory,2021,Unger et al. 2021,,,0,5845,0.89,1.16,-0.18,4.39,6.51,25.4111,3
HD4308,359,HD 4308,HD 4308 b,direct,,15.56,0.02,-0.02,0.12,0,0,0,,,359,47,-47,4.1,0.2,-0.2,,,,2453314.7,,0.05,0,0,Msini,15.8915,0,4.12,0.368,Radial Velocity,La Silla Observatory,2005,Udry et al. 2006,,,0,5686,0.93,1.02,-0.35,4.39,6.55,22.0158,1
HD45184,355,HD 45184,HD 45184 c,direct,,13.1354,0.0026,-0.0025,0.11,0.0034,-0.0036,0.07,0.07,-0.05,-197.97,119.85,-80.87,2.36,0.23,-0.23,,,,2455497.441,2455954,0.0277,0.0034,-0.0032,Msini,8.81,1.09,2.91,0.26,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5869,1.03,1.075139,0.04,4.47,6.383,21.9532,2
HD45184,355,HD 45184,HD 45184 b,direct,,5.8854,0.0003,-0.0003,0.0644,0.002,-0.0021,0.07,0.05,-0.05,145.8,49.43,-47.76,4.26,0.23,-0.23,,,,2455500.251,2455946.53,0.0384,0.0033,-0.0032,Msini,12.19,1.06,3.52,0.314,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5869,1.03,1.075139,0.04,4.47,6.383,21.9532,2
HD93396,342,KELT-11,KELT-11 b,direct,,4.73620865,3.77e-06,-3.77e-06,0.0623,0.00104,-0.00104,0,,,116,36,-36,19.49,1.51,-1.51,85.3,0.02,-0.02,2457062.516,2455498.959,0.205,0.017,-0.017,Mass,65.15482343,5.40308292,15.13212395,1.35,Transit,KELT-South,2017,Pepper et al. 2017,,,0,5375,1.44,2.69,0.17,3.7,8.04,99.1596,1
HD134060,339,HD 134060,HD 134060 c,direct,,1291.5646,48.0333,-44.2197,2.3928,0.0929,-0.0951,0.11,0.13,-0.07,-132.73,121.28,-55.51,1.65,0.24,-0.23,,,,2455232.816,,0.0922,0.0139,-0.0133,Msini,29.29,4.43,5.91,0.527,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5966,1.095,1.164285,0.14,4.43,6.29,24.0125,2
HD134060,339,HD 134060,HD 134060 b,direct,,3.2696,0.0001,-0.0001,0.0444,0.0013,-0.0014,0.45,0.04,-0.04,-98.23,6.61,-6.75,4.61,0.22,-0.22,,,,2455499.654,,0.0318,0.0025,-0.0024,Msini,10.1,0.79,3.16,0.282,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5966,1.095,1.164285,0.14,4.43,6.29,24.0125,2
HD10180,336,HD 10180,HD 10180 c,direct,,5.75969,0.00028,-0.00028,0.06412,0.00101,-0.00101,0.073,0.031,-0.031,328,24,-24,4.545,0.154,-0.154,90,,,2454001.445,,8.626,,,Mass,2741.587839,,,,Radial Velocity,La Silla Observatory,2010,Lovis et al. 2011,,,0,5911,1.06,1.109,0.08,4.39,7.33,38.9607,6
HD10180,336,HD 10180,HD 10180 d,direct,,16.357,0.0038,-0.0038,0.12859,0.00202,-0.00202,0.131,0.052,-0.052,325,23,-23,2.935,0.173,-0.173,90,,,2454022.119,,10.37,,,Mass,3295.880581,,,,Radial Velocity,La Silla Observatory,2010,Lovis et al. 2011,,,0,5911,1.06,1.109,0.08,4.39,7.33,38.9607,6
HD10180,336,HD 10180,HD 10180 e,direct,,49.748,0.025,-0.025,0.2699,0.0043,-0.0043,0.051,0.033,-0.033,147,54,-54,4.283,0.169,-0.169,90,,,2454006.26,,0.079,0.0038,-0.0038,Msin(i)/sin(i),25.1,1.2,5.39,0.481,Radial Velocity,La Silla Observatory,2010,Lovis et al. 2011,,,0,5911,1.06,1.109,0.08,4.39,7.33,38.9607,6
HD10180,336,HD 10180,HD 10180 h,direct,,2205,105.9,-105.9,3.381,0.121,-0.121,0.095,0.086,-0.086,142,72,-72,3.117,0.245,-0.245,90,,,2453433.4,,0.203,0.014,-0.014,Msin(i)/sin(i),64.4,4.6,9.4,0.838,Radial Velocity,La Silla Observatory,2010,Lovis et al. 2011,,,0,5911,1.06,1.109,0.08,4.39,7.33,38.9607,6
HD10180,336,HD 10180,HD 10180 f,direct,,122.744,0.232,-0.232,0.4929,0.0078,-0.0078,0.119,0.054,-0.054,327,27,-27,2.862,0.186,-0.186,90,,,2454024.67,,0.0752,0.0044,-0.0044,Msin(i)/sin(i),23.9,1.4,5.24,0.468,Radial Velocity,La Silla Observatory,2010,Lovis et al. 2011,,,0,5911,1.06,1.109,0.08,4.39,7.33,38.9607,6
HD10180,336,HD 10180,HD 10180 g,direct,,604.67,10.42,-10.42,1.427,0.028,-0.028,0.263,0.152,-0.152,327,59,-59,1.754,0.38,-0.38,90,,,2454002.8,,10.62,,,Mass,3375.337682,,,,Radial Velocity,La Silla Observatory,2010,Lovis et al. 2011,,,0,5911,1.06,1.109,0.08,4.39,7.33,38.9607,6
GJ699,335,Barnard's star,Barnard d,simbad,,2.3402,0.0003,-0.0003,0.0188,0.0003,-0.0003,0.04,0.05,-0.03,-51.8,190.8,-93.5,0.428,0.036,-0.036,,,,2460243.7,,0.00082749,7.551e-05,-7.551e-05,Msini,0.263,0.024,0.694,0.062,Radial Velocity,Gemini Observatory,2025,Basant et al. 2025,,,0,3195,0.162,0.185,-0.56,4.9,9.54,1.82655,4
GJ699,335,Barnard's star,Barnard c,simbad,,4.1244,0.0006,-0.0006,0.0274,0.0004,-0.0004,0.08,0.06,-0.05,90.8,38.9,-48.1,0.452,0.038,-0.038,,,,2460242.92,,0.00105403,9.439e-05,-9.439e-05,Msini,0.335,0.03,0.743,0.0663,Radial Velocity,Gemini Observatory,2025,Basant et al. 2025,,,0,3195,0.162,0.185,-0.56,4.9,9.54,1.82655,4
GJ699,335,Barnard's star,Barnard b,simbad,,3.1542,0.0004,-0.0004,0.0229,0.0003,-0.0003,0.03,0.03,-0.02,3.8,117.7,-121.4,0.44,0.036,-0.036,,,,2460243.38,2460139.204,0.00094076,8.181e-05,-8.181e-05,Msini,0.299,0.026,0.72,0.0642,Radial Velocity,Paranal Observatory,2024,Gonz&aacute;lez Hern&aacute;ndez et al. 2024,,,0,3195,0.162,0.185,-0.56,4.9,9.54,1.82655,4
GJ699,335,Barnard's star,Barnard e,simbad,,6.7392,0.003,-0.003,0.0381,0.0005,-0.0005,0.04,0.03,-0.04,-27.5,137.5,-96.1,0.221,0.037,-0.037,,,,2460245.3,,0.00060725,0.00010383,-0.00010383,Msini,0.193,0.033,0.637,0.0568,Radial Velocity,Gemini Observatory,2025,Basant et al. 2025,,,0,3195,0.162,0.185,-0.56,4.9,9.54,1.82655,4
GJ54.1,334,YZ Cet,YZ Cet b,simbad,,2.02087,7e-05,-9e-05,0.01634,0.00035,-0.00041,0.06,0.06,-0.04,197,110,-133,1.31,0.15,-0.14,,,,2452996.25,,0.00220245,0.00028317,-0.00025171,Msini,0.7,0.09,0.913,0.0814,Radial Velocity,La Silla Observatory,2017,Astudillo-Defru et al. 2017,,,0,3151,0.142,0.157,-0.18,5.17,12.074,3.71207,3
GJ54.1,334,YZ Cet,YZ Cet c,simbad,,3.05989,0.0001,-0.0001,0.02156,0.00046,-0.00054,0,,,30,80,-80,1.84,0.14,-0.15,,,,2452997.62,,0.00358684,0.0003461,-0.00031464,Msini,1.14,0.11,1.05,0.0933,Radial Velocity,La Silla Observatory,2017,Astudillo-Defru et al. 2017,,,0,3151,0.142,0.157,-0.18,5.17,12.074,3.71207,3
GJ54.1,334,YZ Cet,YZ Cet d,simbad,,4.65626,0.00028,-0.00029,0.02851,0.00061,-0.00071,0.07,0.04,-0.05,200,53,-62,1.54,0.14,-0.15,,,,2452996.83,,0.00342952,0.00037756,-0.00037756,Msini,1.09,0.12,1.03,0.0921,Radial Velocity,La Silla Observatory,2017,Astudillo-Defru et al. 2017,,,0,3151,0.142,0.157,-0.18,5.17,12.074,3.71207,3
GJ367,332,GJ 367,GJ 367 b,direct,,0.3219226,1e-06,-1e-06,0.0071,0.0002,-0.0002,0,,,66,41,-108,0.78,0.12,-0.12,78.6,0.7,-0.7,,2458543.814,0.00158261,0.00024542,-0.00024542,Mass,0.503,0.078,0.736,0.06566164,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,Lam et al. 2021,,,0,3535,0.451,0.457,-0.01,4.776,10.153,9.41263,3
GJ367,332,GJ 367,GJ 367 c,direct,,11.5301,0.0078,-0.0078,,,,0.09,0.07,-0.07,-34,74,-54,1.99,0.17,-0.17,,,,,2459153.94,0.01299443,0.00113269,-0.00113269,Msini,4.13,0.36,1.86,0.166,Radial Velocity,La Silla Observatory,2023,Goffo et al. 2023,,,0,3522,0.455,0.458,-0.01,4.776,10.153,9.41263,3
GJ367,332,GJ 367,GJ 367 d,direct,,34.369,0.073,-0.073,,,,0.14,0.09,-0.09,-126,287,-38,2.03,0.16,-0.16,,,,,2459181.82,0.0189725,0.00154171,-0.00154171,Msini,6.03,0.49,2.33,0.208,Radial Velocity,La Silla Observatory,2023,Goffo et al. 2023,,,0,3522,0.455,0.458,-0.01,4.776,10.153,9.41263,3
GJ273,318,GJ 273,GJ 273 b,direct,,18.6498,0.0059,-0.0052,0.091101,1.9e-05,-1.7e-05,0.1,0.09,-0.07,,,,1.61,0.15,-0.15,,,,,,0.00909291,0.00084951,-0.00081805,Msini,2.89,0.27,1.51,0.135,Radial Velocity,La Silla Observatory,2017,Astudillo-Defru et al. 2017,,,0,3382,0.29,0.293,0.09,4.90868,9.84,5.921535,2
GJ273,318,GJ 273,GJ 273 c,direct,,4.7234,0.0004,-0.0004,0.036467,2e-06,-2e-06,0.17,0.13,-0.12,,,,1.06,0.15,-0.15,,,,,,0.00371268,0.00050341,-0.00050341,Msini,1.18,0.16,1.06,0.0942,Radial Velocity,La Silla Observatory,2017,Astudillo-Defru et al. 2017,,,0,3382,0.29,0.293,0.09,4.90868,9.84,5.921535,2
GJ882,308,51 Peg,51 Peg b,simbad,,4.2307966,2.7e-06,-2.7e-06,0.052,,,0.0063,,,0,0,0,55.77,0.15,-0.15,49.8,5.8,-5.7,2452497,2456326.932,0.61,0.06,-0.05,Mass,193.8753283,19.06970442,14.1,1.26,Radial Velocity,Haute-Provence Observatory,1995,Mayor & Queloz 1995,,,0,5761,1.07,1.19,0.2058,4.317353,5.45309,15.4614,1
GJ447,307,Ross 128,Ross 128 b,simbad,,9.8658,0.007,-0.007,0.0496,0.0017,-0.0017,0.116,0.097,-0.097,,,,1.39,0.18,-0.18,,,,,,0.00440487,0.00066073,-0.00066073,Msini,1.4,0.21,1.11,0.0988,Radial Velocity,La Silla Observatory,2017,Bonfils et al. 2018,,,0,3192,0.168,0.1967,-0.02,5.04705,11.12,3.37454,1
HD11977,294,HD 11977,HD 11977 b,direct,,711,8,-8,1.93,,,0.4,0.07,-0.07,351.5,9.5,-9.5,105,8,-8,,,,2451420,,6.54,,,Msini,2080,,12.7,1.13,Radial Velocity,La Silla Observatory,2005,Setiawan et al. 2005,,,0,4970,1.91,10.09,-0.21,2.9,4.68,67.9331,1
GJ3053,293,LHS 1140,LHS 1140 b,simbad,,24.73723,2e-05,-2e-05,0.0946,0.0017,-0.0017,0.043,,,,,,3.8,0.11,-0.11,89.86,0.04,-0.04,,2458399.93,0.01761957,0.00059781,-0.00059781,Mass,5.6,0.19,1.73,0.15434053,Transit,MEarth Project,2017,Dittmann et al. 2017,,,0,3096,0.1844,0.2159,-0.15,5.041,14.15,14.9861,2
GJ3053,293,LHS 1140,LHS 1140 c,simbad,,3.77794,2e-06,-2e-06,0.027,0.0005,-0.0005,0.05,,,,,,2.42,0.07,-0.07,89.8,0.14,-0.19,,2458389.294,0.00600953,0.00018878,-0.00018878,Mass,1.91,0.06,1.272,0.11348043,Transit,Multiple Observatories,2018,Ment et al. 2019,,,0,3096,0.1844,0.2159,-0.15,5.041,14.15,14.9861,2
HD16417,293,HD 16417,HD 16417 b,direct,,17.24,0.01,-0.01,0.14,0.01,-0.01,0.2,0.09,-0.09,77,26,-26,5,0.4,-0.4,,,,2450099.74,,0.0696,0.0063,-0.0063,Msini,22.1,2,5,0.446,Radial Velocity,Anglo-Australian Telescope,2008,O'Toole et al. 2009,,,0,5841,1.2,1.639984,0.06,4.16,5.78,25.3936,1
HD134606,290,HD 134606,HD 134606 c,direct,,58.883,0.041,-0.039,0.3007,0.0066,-0.0069,0.055,0.062,-0.04,172,80,-86,1.81,0.14,-0.14,,,,2455031.6,,0.03558524,0.00314635,-0.00311489,Msini,11.31,1,3.37,0.301,Radial Velocity,Multiple Observatories,2024,Li et al. 2024,,,0,5576,1.046,1.158,0.343,4.33,6.86,26.7909,5
HD134606,290,HD 134606,HD 134606 b,direct,,12.089,0.0016,-0.0015,0.1046,0.0023,-0.0024,0.092,0.054,-0.053,157,38,-34,2.47,0.13,-0.13,,,,2455003,,0.02860034,0.00201367,-0.0019822,Msini,9.09,0.64,2.97,0.265,Radial Velocity,Multiple Observatories,2024,Li et al. 2024,,,0,5576,1.046,1.158,0.343,4.33,6.86,26.7909,5
HD134606,290,HD 134606,HD 134606 d,direct,,966.5,5.3,-6.9,1.941,0.043,-0.046,0.092,0.045,-0.045,194,34,-28,2.83,0.13,-0.13,,,,2455100,,0.14095656,0.00912442,-0.00912442,Msini,44.8,2.9,7.59,0.677,Radial Velocity,Multiple Observatories,2024,Li et al. 2024,,,0,5576,1.046,1.158,0.343,4.33,6.86,26.7909,5
HD134606,290,HD 134606,HD 134606 f,direct,,26.915,0.016,-0.016,0.1784,0.0039,-0.0041,0.081,0.1,-0.059,63,63,-166,1.18,0.14,-0.14,,,,2455504.4,,0.01771396,0.00226537,-0.00217098,Msini,5.63,0.72,2.24,0.2,Radial Velocity,Multiple Observatories,2024,Li et al. 2024,,,0,5576,1.046,1.158,0.343,4.33,6.86,26.7909,5
HD134606,290,HD 134606,HD 134606 e,direct,,4.3203,0.00051,-0.00047,0.0527,0.0011,-0.0012,0.2,0.14,-0.13,54,45,-57,0.92,0.13,-0.13,,,,2455500.27,,0.00736246,0.00110122,-0.00106976,Msini,2.34,0.35,1.33,0.119,Radial Velocity,Multiple Observatories,2024,Li et al. 2024,,,0,5576,1.046,1.158,0.343,4.33,6.86,26.7909,5
HD154088,280,HD 154088,HD 154088 b,direct,,18.56,0.01,-0.01,0.134,0.002,-0.002,0.344,,,,,,1.7,0.2,-0.2,,,,2455498.2,,0.02076592,0.00251708,-0.00251708,Msini,6.6,0.8,2.46,0.219,Radial Velocity,La Silla Observatory,2021,Unger et al. 2021,,,0,5374,0.91,0.95,0.28,4.37,6.59,18.2692,1
GJ9191,277,HD 39194,HD 39194 b,simbad,,5.63692,0.00032,-0.00032,0.05895,0.00092,-0.00092,0.101,,,180,97,-97,1.84,0.11,-0.11,,,,2452942.3,,0.01453615,0.00100683,-0.00100683,Msini,4.62,0.32,1.99,0.178,Radial Velocity,La Silla Observatory,2021,Unger et al. 2021,,,0,5205,0.86,0.783742,-0.61,4.53,8.09,26.4131,3
GJ9191,277,HD 39194,HD 39194 c,simbad,,14.0309,0.0022,-0.0022,0.1083,0.0017,-0.0017,0.078,,,130,160,-80,2.19,0.13,-0.13,,,,2452937.9,,0.02356618,0.00157318,-0.00157318,Msini,7.49,0.5,2.65,0.236,Radial Velocity,La Silla Observatory,2021,Unger et al. 2021,,,0,5205,0.86,0.783742,-0.61,4.53,8.09,26.4131,3
GJ9191,277,HD 39194,HD 39194 d,simbad,,33.874,0.024,-0.024,0.1949,0.0031,-0.0031,0.159,,,240,80,-190,1.13,0.13,-0.13,,,,2452932.3,,0.01623518,0.00185635,-0.00185635,Msini,5.16,0.59,2.12,0.19,Radial Velocity,La Silla Observatory,2021,Unger et al. 2021,,,0,5205,0.86,0.783742,-0.61,4.53,8.09,26.4131,3
GJ667,272,GJ 667 C,GJ 667 C f,prefix,archive hostname is star name + component letter,39.026,0.194,-0.211,0.156,0.014,-0.017,0.03,0.16,-0.03,103.1,256.9,-103.1,1.08,0.47,-0.46,,,,,,0.008,0.004,-0.004,Msini,2.7,1.4,1.45,0.129,Radial Velocity,La Silla Observatory,2013,Anglada-Escude et al. 2013,,,1,3350,0.33,,-0.55,4.69,10.602,7.24396,5
GJ667,272,GJ 667 C,GJ 667 C b,prefix,archive hostname is star name + component letter,7.203,0.0019,-0.0019,0.050431,4e-06,-4e-06,0.2,0.1,-0.1,-2.7,23.4,-23.4,4.3,0.4,-0.4,,,,2454272.971,,0.01789,0.00075,-0.00075,Msini,5.68,0.23,2.25,0.201,Radial Velocity,La Silla Observatory,2012,Bonfils et al. 2013,,,0,3350,0.33,,-0.55,4.69,10.602,7.24396,5
GJ667,272,GJ 667 C,GJ 667 C c,prefix,archive hostname is star name + component letter,28.14,0.053,-0.065,0.125,0.012,-0.013,0.02,0.15,-0.02,292.2,67.8,-292.2,1.71,0.47,-0.47,,,,2454462,,0.012,0.005,-0.004,Msini,3.8,1.5,1.77,0.158,Radial Velocity,La Silla Observatory,2013,Anglada-Escude et al. 2013,,,0,3350,0.33,,-0.55,4.69,10.602,7.24396,5
GJ667,272,GJ 667 C,GJ 667 C e,prefix,archive hostname is star name + component letter,62.24,0.55,-0.55,0.213,0.019,-0.022,0.02,0.22,-0.02,28.6,331.4,-28.6,0.92,0.48,-0.42,,,,,,0.008,0.005,-0.004,Msini,2.7,1.6,1.45,0.129,Radial Velocity,La Silla Observatory,2013,Anglada-Escude et al. 2013,,,1,3350,0.33,,-0.55,4.69,10.602,7.24396,5
GJ667,272,GJ 667 C,GJ 667 C g,prefix,archive hostname is star name + component letter,256.2,13.8,-7.9,0.549,0.052,-0.058,0.08,0.41,-0.08,51.6,308.4,-51.6,0.95,0.48,-0.44,,,,,,0.014,0.008,-0.007,Msini,4.6,2.6,1.99,0.177,Radial Velocity,La Silla Observatory,2013,Anglada-Escude et al. 2013,,,1,3350,0.33,,-0.55,4.69,10.602,7.24396,5
GJ876,270,GJ 876,GJ 876 c,direct,,30.0881,0.0082,-0.0082,0.12959,2.4e-05,-2.4e-05,0.25591,0.00093,-0.00093,48.76,0.7,-0.7,88.34,0.47,-0.47,59,,,2450602.093,2453029.298,0.7142,0.0039,-0.0039,Mass,226.9846,1.2395,14,1.25,Radial Velocity,Multiple Observatories,2000,Marcy et al. 2001,,,0,3293.74,0.32,0.3,0.2129,4.87177,10.16,4.67517,4
GJ876,270,GJ 876,GJ 876 b,direct,,61.1166,0.0086,-0.0086,0.208317,2e-05,-2e-05,0.0324,0.0013,-0.0013,50.3,3.2,-3.2,214,0.42,-0.42,59,,,2450602.093,2453055.984,2.2756,0.0045,-0.0045,Mass,723.2235,1.4302,13.3,1.19,Radial Velocity,Multiple Observatories,1998,Marcy et al. 1998,,,0,3293.74,0.32,0.3,0.2129,4.87177,10.16,4.67517,4
GJ876,270,GJ 876,GJ 876 d,direct,,1.93778,2e-05,-2e-05,0.02080665,1.5e-07,-1.5e-07,0.207,0.055,-0.055,234,20,-20,6.56,0.37,-0.37,59,,,2450602.093,2455200.064,0.021,0.001,-0.001,Mass,6.83,0.4,2.51,0.224,Radial Velocity,W. M. Keck Observatory,2005,Rivera et al. 2005,,,0,3293.74,0.32,0.3,0.2129,4.87177,10.16,4.67517,4
GJ876,270,GJ 876,GJ 876 e,direct,,124.26,0.7,-0.7,0.3343,0.0013,-0.0013,0.055,0.012,-0.012,239,22,-22,3.42,0.39,-0.39,59,,,2450602.093,,0.046,0.005,-0.005,Mass,14.6,1.7,3.92,0.35,Radial Velocity,W. M. Keck Observatory,2010,Rivera et al. 2010,,,0,3293.74,0.32,0.3,0.2129,4.87177,10.16,4.67517,4
HD31527,268,HD 31527,HD 31527 c,direct,,51.2053,0.0373,-0.0368,0.2663,0.0088,-0.0095,0.04,0.05,-0.03,-23.25,68.94,-152.43,2.51,0.14,-0.14,,,,2455526.343,,0.0445,0.004,-0.0039,Msini,14.16,1.28,3.85,0.343,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5898,0.96,1.073694,-0.17,4.45,7.49,38.4473,3
HD31527,268,HD 31527,HD 31527 b,direct,,16.5535,0.0034,-0.0035,0.1254,0.0041,-0.0045,0.1,0.05,-0.05,41.12,29.46,-34.41,2.72,0.13,-0.13,,,,2455499.545,,0.0329,0.0028,-0.0028,Msini,10.47,0.89,3.22,0.288,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5898,0.96,1.073694,-0.17,4.45,7.49,38.4473,3
HD31527,268,HD 31527,HD 31527 d,direct,,271.6737,2.1135,-2.2471,0.8098,0.0273,-0.0293,0.24,0.13,-0.13,179,31.11,-26.2,1.25,0.17,-0.16,,,,2455718.809,,0.0372,0.0053,-0.0052,Msini,11.82,1.7,3.46,0.309,Radial Velocity,La Silla Observatory,2019,Udry et al. 2019,,,0,5898,0.96,1.073694,-0.17,4.45,7.49,38.4473,3
HD106315,265,HD 106315,HD 106315 b,direct,,9.55237,0.00089,-0.00089,0.0907,0.001,-0.001,0.093,0.11,-0.068,239,74,-200,3.63,0.92,-0.92,87.54,0.32,-0.32,,2457586.549,0.03964383,0.01006828,-0.01006828,Mass,12.6,3.2,2.44,0.21768222,Transit,K2,2017,Crossfield et al. 2017,,,0,6327,1.091,1.296,-0.311,4.252,8.951,109.353,2
HD106315,265,HD 106315,HD 106315 c,direct,,21.05704,0.00046,-0.00046,0.1536,0.0017,-0.0017,0.22,0.15,-0.15,96,88,-35,3.43,0.83,-0.83,88.61,0.7,-0.25,,2457569.017,0.04782431,0.01164144,-0.01164144,Mass,15.2,3.7,4.35,0.38808101,Transit,K2,2017,Crossfield et al. 2017,,,0,6327,1.091,1.296,-0.311,4.252,8.951,109.353,2
HD179079,260,HD 179079,HD 179079 b,direct,,14.479,0.01,-0.01,0.1214,0.0068,-0.0068,0.049,0.087,-0.087,308,77,-77,6.22,0.78,-0.78,0.3766,,,2463211.3,,13.2,,,Mass,4195.334972,,,,Radial Velocity,W. M. Keck Observatory,2008,Valenti et al. 2009,,,0,5646,1.14,1.63,0.24,4.16,7.95,69.7116,1
GJ9827,258,GJ 9827,GJ 9827 b,direct,,1.208974,1e-06,-1e-06,0.0189,0.0004,-0.0004,0,,,,,,3.53,0.22,-0.22,87.6,1.31,-1.27,2457738.826,2457738.826,0.01346639,0.00110122,-0.0010383,Mass,4.28,0.35,1.44,0.12846842,Transit,K2,2017,Niraula et al. 2017,,,0,4236,0.62,0.58,-0.29,4.719,10.37,29.661,3
GJ9827,258,GJ 9827,GJ 9827 c,direct,,3.648103,1.3e-05,-1e-05,0.0395,0.0009,-0.0009,0,,,,,,1.06,0.21,-0.21,89.09,0.6,-0.68,2457742.2,2457742.2,0.00585221,0.00116415,-0.00122708,Mass,1.86,0.37,1.13,0.10081202,Transit,K2,2017,Niraula et al. 2017,,,0,4236,0.62,0.58,-0.29,4.719,10.37,29.661,3
GJ9827,258,GJ 9827,GJ 9827 d,direct,,6.20183,3e-06,-3e-06,0.053,0.003,-0.003,0,,,,,,1.44,0.27,-0.27,87.41,0.09,-0.11,2457740.961,2460265.102,0.00950198,0.00182488,-0.00179342,Mass,3.02,0.58,1.98,0.17664407,Transit,K2,2017,Niraula et al. 2017,,,0,4236,0.62,0.58,-0.29,4.7,10.37,29.661,3
GJ674,256,GJ 674,GJ 674 b,direct,,4.6938,0.007,-0.007,0.039,,,0.2,0.02,-0.02,143,6,-6,8.7,0.19,-0.19,,,,2453780.085,,0.035,,,Msini,11.09,,3.33,0.297,Radial Velocity,La Silla Observatory,2007,Bonfils et al. 2007,,,0,3600,0.35,0.36463,-0.28,4.85978,9.38,4.54896,1
HD82943,255,HD 82943,HD 82943 b,direct,,441.47,0.35,-0.35,1.18306,0.00062,-0.00062,0.162,0.036,-0.036,300.9,3.4,-3.4,41.91,0.77,-0.77,90,,,2451758,2455114.6,1.681,0.028,-0.028,Mass,534.25,8.899,13.5,1.2,Radial Velocity,La Silla Observatory,2003,Mayor et al. 2004,,,0,5935,1.08,1.1826,0.26,4.32582,6.54993,27.5902,2
HD82943,255,HD 82943,HD 82943 c,direct,,220.078,0.051,-0.051,0.74345,0.00012,-0.00012,0.3663,0.0097,-0.0097,117.2,1.7,-1.7,65.4,1.5,-1.5,90,,,2452284,2455135.17,1.959,0.047,-0.047,Mass,622.603,14.937,13.4,1.2,Radial Velocity,La Silla Observatory,2003,Mayor et al. 2004,,,0,5935,1.08,1.1826,0.26,4.32582,6.54993,27.5902,2
